"","url","catalogNumber","family","subfamily","genus","specificEpithet","scientific_name","typeStatus","stateProvince","country","dateIdentified","habitat","minimumElevationInMeters","geojson.type","decimal_latitude","decimal_longitude"
"3582","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193019-d01","casent0193019-d01","formicidae","myrmicinae","Crematogaster","kelleri","crematogaster kelleri","","Mahajanga","","2012-12-20","tropical dry forest","30","point","-16.925","44.36833"
"3583","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193020","casent0193020","formicidae","myrmicinae","Crematogaster","ranavalonae","crematogaster ranavalonae","","Antsiranana","","","tropical dry forest","550","point","-13.21167","49.55667"
"3584","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193020-d01","casent0193020-d01","formicidae","myrmicinae","Crematogaster","ranavalonae","crematogaster ranavalonae","","Antsiranana","","","tropical dry forest","550","point","-13.21167","49.55667"
"3585","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193021","casent0193021","formicidae","myrmicinae","Crematogaster","ranavalonae","crematogaster ranavalonae","","Antsiranana","","","tropical dry forest","150","point","-13.16667","49.71"
"3586","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193021-d01","casent0193021-d01","formicidae","myrmicinae","Crematogaster","ranavalonae","crematogaster ranavalonae","","Antsiranana","","","tropical dry forest","150","point","-13.16667","49.71"
"3587","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193025","casent0193025","formicidae","myrmicinae","Crematogaster","tsisitsilo","crematogaster tsisitsilo","","Antsiranana","","2012-12-20","rainforest","450","point","-14.43333","49.78333"
"3588","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193025-d01","casent0193025-d01","formicidae","myrmicinae","Crematogaster","tsisitsilo","crematogaster tsisitsilo","","Antsiranana","","2012-12-20","rainforest","450","point","-14.43333","49.78333"
"3589","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193027","casent0193027","formicidae","myrmicinae","Crematogaster","rasoherinae","crematogaster rasoherinae","","Toamasina","","2012-12-27","urban/garden on low vegetation","16","point","-19.33283","48.9795"
"3590","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193027-d01","casent0193027-d01","formicidae","myrmicinae","Crematogaster","rasoherinae","crematogaster rasoherinae","","Toamasina","","2012-12-27","urban/garden on low vegetation","16","point","-19.33283","48.9795"
"3591","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193028","casent0193028","formicidae","myrmicinae","Crematogaster","degeeri","crematogaster degeeri","","Antananarivo","","2012-12-21","urban gardens on low vegetation","1300","point","-18.928","47.527"
"3592","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193028-d01","casent0193028-d01","formicidae","myrmicinae","Crematogaster","degeeri","crematogaster degeeri","","Antananarivo","","2012-12-21","urban gardens on low vegetation","1300","point","-18.928","47.527"
"3593","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193029","casent0193029","formicidae","myrmicinae","Crematogaster","sewellii","crematogaster sewellii","","Antananarivo","","2012-12-20","urban gardens canopy","1300","point","-18.928","47.527"
"3594","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193029-d01","casent0193029-d01","formicidae","myrmicinae","Crematogaster","sewellii","crematogaster sewellii","","Antananarivo","","2012-12-20","urban gardens canopy","1300","point","-18.928","47.527"
"3595","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193030","casent0193030","formicidae","myrmicinae","Crematogaster","mafybe","crematogaster mafybe","","Antananarivo","","2012-12-20","urban gardens ground forager s","1300","point","-18.928","47.527"
"3596","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193030-d01","casent0193030-d01","formicidae","myrmicinae","Crematogaster","mafybe","crematogaster mafybe","","Antananarivo","","2012-12-20","urban gardens ground forager s","1300","point","-18.928","47.527"
"3597","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193031","casent0193031","formicidae","myrmicinae","Crematogaster","malahelo","crematogaster malahelo","","Antananarivo","","2012-12-20","disturbed montane rainforest on tree trunk","1575","point","-19.37083","47.339"
"3598","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193031-d01","casent0193031-d01","formicidae","myrmicinae","Crematogaster","malahelo","crematogaster malahelo","","Antananarivo","","2012-12-20","disturbed montane rainforest on tree trunk","1575","point","-19.37083","47.339"
"3599","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193032","casent0193032","formicidae","myrmicinae","Crematogaster","kelleri","crematogaster kelleri","","Antananarivo","","2012-12-20","disturbed montane rainforest canopy moss and leaf litter","1575","point","-19.37083","47.339"
"3600","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193032-d01","casent0193032-d01","formicidae","myrmicinae","Crematogaster","kelleri","crematogaster kelleri","","Antananarivo","","2012-12-20","disturbed montane rainforest canopy moss and leaf litter","1575","point","-19.37083","47.339"
"3601","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193036","casent0193036","formicidae","myrmicinae","Crematogaster","lobata","crematogaster lobata","","Mahajanga","","2012-12-20","disturbed dry forest on tree trunk","20","point","-15.05117","47.89717"
"3602","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193036-d01","casent0193036-d01","formicidae","myrmicinae","Crematogaster","lobata","crematogaster lobata","","Mahajanga","","2012-12-20","disturbed dry forest on tree trunk","20","point","-15.05117","47.89717"
"3603","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193038","casent0193038","formicidae","myrmicinae","Crematogaster","dentata","crematogaster dentata","","Mahajanga","","2012-12-20","disturbed dry forest edge ex dead twig above ground","190","point","-14.12783","48.09767"
"3604","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0193038-d01","casent0193038-d01","formicidae","myrmicinae","Crematogaster","dentata","crematogaster dentata","","Mahajanga","","2012-12-20","disturbed dry forest edge ex dead twig above ground","190","point","-14.12783","48.09767"
